Host Range,logSpecies Richness,Species Richness,Host,Status
39936190.86,0.117,1.3,Herbs,Introduced
82769896.09,1.148,14.06,Herbs,Native
39453103.91,0.37,2.34,Shrubs,Introduced
72947130.44,1.504,31.915,Shrubs,Native
44660747.57,0.614,4.111,Trees,Introduced
61165436.89,1.354,22.5943,Trees,Middle
78640990.29,2.189,154.5254,Trees,Native
5291733.01,0.811,6.4714,Shrubs,Middle
